"درَا مَنجهه دوسِتُ ٿِيو، موٽِي پُڇُ پاهِين،
عَبَثُ اَڳاهِين، وَڃِيو ڪُوڪيٖن ڪانڌَ کي.",Shah Bhitai
"پَرَ گَهران پاسو ڪَري، پُڇُ پِرِيان ڪَرَ پاڻُ،
سو تان تونهِين ساڻُ، جنهن لئي جَفائون ڪَرين.",Shah Bhitai
"ڪُوڙِيُون پُڇَنِ ڪيچَ، هوتُ نه پُڇَنِ هتهِين،
جَنِ پُنُهونءَ سين پيچُ، تَنِ پيرين پَنڌُ وِسارِيو.",Shah Bhitai
"هَلُ هِنئين سين هوتَ ڏي، پيرين پَنڌ وِسارِ،
قاصِيداڻِي ڪارِ، ڪِينَ رَساڻِـٖي ڪيچَ کي.",Shah Bhitai
"هَلُ هِنئين سين هوتَ ڏي، پيريٖن ڪَرِ مَ پَنڌُ،
رائـٖي پُڇُ مَ رَندُ رِڙههُ، رُوحانِي سَسُئِي!",Shah Bhitai
"هَلُ هِنئين سين هوتَ ڏي، ڇَپَرِ هَڏِ مَ ڇُلَ،
آرِياڻِي اَمُلُ، ڪايا ۾ ڪانڌُ ٿِيو.",Shah Bhitai
"هلُ هِنئين سين هوتَ ڏي، ڇَپَرِ ڇُلُ مَ تُون،
مَنجهان لَڌو مُون، ڪوهِيارو ڪيچَ-ڌَڻِي.",Shah Bhitai
"هَلُ هِنئين سين هوتَ ڏي، سِسِي کَڻُ مَ ساڻُ،
جَنِين ڀانئِيو پاڻُ، سي آرِياڻِئان اوري رَهِيُون.",Shah Bhitai
"مَتان مُٺِي! ڇَڏِييٖن، پِرِيَتَڻُو پاڻا،
ڄاپَنِ جيئن ڄاڻان، تون پُڻِ هوئجِ تَنِ جيئن.",Shah Bhitai
"مَتان مُٺِي! ڇَڏِيين، پاڻان پِرِيَتَڻُو،
کَٿُورِيءَ ڪَڻُو، مَڙهي مَڙِهِجِ مُنهن ۾.",Shah Bhitai
"هيجُ هوندو جَنِ، سي ڪيئنءَ وِندُرَ وِيندِيُون،
وِيهو وِچِ رَهَنِ، سَهسِين سَڌُنِ وارِيُون.",Shah Bhitai
"ڪيچِ نه جُنبَڻَ جاءِ، تَه ڪا هَلي هوتَ ڏي،
مُون سين هَلي ساءِ، جا جِيءُ مِٺو نه ڪَري.",Shah Bhitai
"آتَڻَ ۾ پِرِياڻُ، هو سَڀَنِي جيڏييٖن،
مُون سَڀاڳـِيءَ ساڻُ ڪيرَ ڇُلَندِي ڇَپَرين؟",Shah Bhitai
"سُکَنِ وارِي سَڌَ، مَتان ڪا مُون سين ڪَري،
اَندَرُ جَنِين جو اَڌَ، ڏُونگرَ سي ڏورِيندِيُون.",Shah Bhitai
"ڏُونگَر نه ڏوريٖ، سِڪَڻَ جون سَڌُون ڪَري،
ويٺِي گهرِ گهوريٖ، مَٿان پِرِيَنِ ڄِندَڙو.",Shah Bhitai
"تو جو ٻولُ، ٻَروچَ! ويهِي ڪِيو وَڻِڪارَ ۾،
سوئِي پارِج، هوتَ! وِلَهِيءَ مُون مَعذُورِ سين.",Shah Bhitai
"پِهرِين تُون پاريج، پارَڻُ پوءِ پُنهُونءَ تي،
ٻولُ مَ وِسارِيجِ، هُو جو ڪِيوءِ هوتَ سين.",Shah Bhitai
"توسين ٻولَ ٻَهُون، سَهَسين ساڄَنُ جي ڪَري،
ڪَندِييٖن توءِ ڪَهُون، جي نالو ڳـِيَڙُءِ نِينهَن جو.",Shah Bhitai
"سُڻِي ٻولَ سَندانِ، جِمَ سُمَهِين سَسُئِي!
ڪَندِييٖن ڪُھُ ڪيڻانِ، جُهه سي اُنِ اورانگِهيا.",Shah Bhitai
"چُڪِيءَ کي چَئِي، ڪا جاڳائي جيڏِيُون!
وِيئَڙو ساٿُ وَهِي، تو نِنڊا ئِي نه لَهـٖي.",Shah Bhitai
"چُڪَسِ سَڀِ چَئِي، ماڙُهو شَهَر ڀَنڀورَ جا،
سا موٽي ڪِينَ مَئِي، جنهن جو جانِبُ جَتَ وَٺِي وِيا.",Shah Bhitai
"موٽَڻَ جا مَذڪُورَ، جان ڪي چَيَسِ جيڏِييٖن،
پَرِيَٽ پِهرين پُورَ، نيٖئِي پَهُچائِي پُنهونءَ کي.",Shah Bhitai
"موٽِي مَران مَ ماءِ! موٽَڻَ کان اَڳي مَران!
لُڇِي لالَڻ لاءِ، شالَ پُونديَسِ پيرَ تي!",Shah Bhitai
"دَردُ نه لَهي دارُئين، زُلفَ زورِ ڏِنومِ،
ڪاڪُلَ ڪالَهه ڏِٺومِ، رُخساريٖ تي رُوپَ سين.",Shah Bhitai
"ڀَنڀو جو ڀَنڀور ۾، ڪاڪُلُ ڏِٺُمِ ڪالَ،
هَئـٖي تَنِين جي حال، زُلفُ جي زافُ ڪِيُون.",Shah Bhitai
"پَرِينديئِي پاڻ وِيو، زلف ڪِيَسِ زافُ،
سَندو ڪاڪلَ ڪافُ، ماري معذُورِنِ کي.",Shah Bhitai
"هاڻِ نَه جِيان، جيڏِيون! زُلفَ زافُ ڪِياسِ،
ڪاڪُلَ آئُون ڪُٺِياسِ، ڀَنڀو جو ڀَنڀورَ ۾.",Shah Bhitai
"ڪاڪُلَ ڪُٺِي جا، ڪفنُ تنهن ڪِينَ ٿِئـٖي،
مَنجِهه شَهادَتَ سا، لُڏيٖ ۽ لاڏَ ڪَري.",Shah Bhitai
"ڏَکا، ڏُونگَرَ! لاههِ، آئُون اَڳُ مُئِي آهِيان،
آرِياڻِيءَ سين آهه، ذاتي سَڱُ ضَعِيفَ جو.",Shah Bhitai
"سُمَهڻا ساڙو، جيڏِيُون! جيڏوئي ٿِيو،
پِرِينءَ جو پاڙو، مُون سين نِنڊَ نِبيريو.",Shah Bhitai
"وِندُرِ جي وَڃَنِ، سي مَرُ ٻَنڌَنِ سَندِرا،
ٻِيُون ڪوه ٻَنڌَنِ؟ ڇوڙي جي ڇَڏِيندِيُون.",Shah Bhitai
"ڏِيهاڻِي ڏمَرُ ڪَري، مَٿي مَحَبتَ مُون،
تنهن کي اَچي تُون، پِرِيَمِ! ڪوهُه نه پَلِييٖن؟",Shah Bhitai
"ويٺـٖي وَرَ نَه پُون، سُتـٖي مِلَنِ نه سُپِرِين،
جي مَٿي رَندَنِ رُونِ، ساڄَنُ مِلي تَنِ کي.",Shah Bhitai
"ڪِ ڪي ڪَڙِيان پيرَ، ڪِ ڪَڙهان ڪيچَ ڌَڻِيَنِ لئِه؟
اِيُ ڏئُون ڏيئِي ڏيَر، پاڻان پرانهان وِيا.",Shah Bhitai
"ڪَڙُهه پُڻِ ڪيچَ ڌَڻِيَنِ لَئي، ڪَڙِ پُڻِ پيرَ سَندانِ،
اِنَهِين پَرِ اُتانِ، پُوَندينءَ، مُنڌَ! پهاڙَ ۾.",Shah Bhitai
"لُڇي ڪِينَ ڪُڇي، آٽي مُنڌَ اَندوههَ ۾،
پَرِ ۾ پـٖيـر پُڇي، لالَڻ جو، لَطِيفُ چي.",Shah Bhitai
"اَچِي عزِرائِيل، سُتِي جاڳائِي سَسُئِي،
ٿِي دَواڙائي دَلِيلَ، ته پُنهُونءَ ماڙهُو موڪَلِيو.",Shah Bhitai
"جان جان هُئِي جيئرَي، وِرِچِي نه ويٺِي،
وَڃِي ڀُونءِ پيٺِي، سِڪَندِي کي سَڄَڻيٖن.",Shah Bhitai
"ويهُه مَ وِساريٖ، پُڇا ڪَرِ مَ پَنڌَ جي،
نِرِمَلُ نِهاريٖ، هَلَندِنِ تان هَٿِ ڪيو.",Shah Bhitai
"اَوَجَهڙِ اَسُونهِنِ، ڏيهُه گَهڻوئِي ڏوريو،
سَڳَرِ رِيءَ سُونهَنِ، پَهُتِي ڪانَه پَنڌُ ڪَري.",Shah Bhitai
"کُهِجِ مَ، اُجَها کيھَ، گَردَ پسُ گُنگَنِ جي،
ڏُکِي مَنجهان ڏيهَه، نِڪِرُ نانهن ڪُلهـٖي ڪَري.",Shah Bhitai
"ويٺِيَسِ وِک نَه اُپُڙيٖ، تُون آرِياڻِي! آءُ،
ڇِڪِيءَ تو سين چاءُ، پاسي ڀَرِ پيئِي رِڙهـٖي.",Shah Bhitai
"کُهِي جا کَنيائِين، وِکَ تنهن ويجِهي ڪَئِي،
ڇِڪيءَ ڇِنائِين، پَنڌ مِڙوئي پَٽ جو.",Shah Bhitai
"سَؤُ ڪوهَ ڪري سَڀَڪا، تُون کُهِي کَڻِجِ وِکَ،
تاڻِج مَنجهان تِکَ، تَه پَنڌُ پاسي ڀَرِ نِبِري.",Shah Bhitai
"جان جان هُئِي جيئري، ويٺي نَه ويساندِ،
لُڙهِي لَهرِنِ پاندِ، مُيائِي ميهار ڏيٖ.",Shah Bhitai
"وِيو جاڳائي جَتُ، ويرِي ڪنهن وِلات جو،
سَندو سُورَنِ خَطُ، ڏِنُم هوتَ هَٿَنِ سين.",Shah Bhitai
"آءُ اوراهُون سُپِرِين! ڏُکِيءَ ڏيج مَ ڏاگُهه،
وَٽِ ڇَڏي مُون واگُهه، آرِي وِئين عِشقَ جو.",Shah Bhitai
"آءُ اوراهُون سُپِرِين! ڏُکِيءَ ڏاگُهه مَ ڏيج،
پيهِي گَهرِ پُڇيٖجِ، تَه هوتَ! هَلاڪَتَ نه ٿِئـٖي.",Shah Bhitai
"مَڇُڻ، وَرَ! وِسارييٖن، آرِي! لَڳِ اَللهَ،
توکي سارِيو ساهُ، اُڪنڊِيو آهُون ڪَري.",Shah Bhitai
"مَڇُڻ وَرَ! وِسارييٖن، صَبرُ نه سارِيان،
توکي نِهارِيان، آءُ مُنهنجا سُپِرِين!",Shah Bhitai
"هَٿان هَڏِ نَه ڇَڏِيان، صَبرُ شُڪرانو،
ذَوقَ زَمانو، مُون، وَرَ وِيو وِسَرِي.",Shah Bhitai
"صَبرَ ۽ شُڪرَ کي، ڪاڏي آئُون ڪَندِي؟
آهِيان جنهن سَندِي، سو تَه گُهرجي ساڻُ مُون.",Shah Bhitai
"صبرَ ۽ شُڪَر کي، وَٺِي آئُون ويٺِي،
ڏُکِيءَ سين ڏيٺِي، ڪا ڪِجِ اَچِي ڪَڏِهِين.",Shah Bhitai
"وَرُ اُونداهِي راتَڙِي، چانڊُوڻِيءَ چانڊا،
اوري ميهارا، منهن مَ پَسان ڪو ٻيو!",Shah Bhitai
"صبرَ ۽ شُڪَر کي، هَٿِ ڪيو مُون هاڻِ،
پِرِيَمِ! اَچِي پاڻِ، پَٽِيءَ کي پُڇيج تُون.",Shah Bhitai
"ناههِ جَمِعيّتَ جانِ کي، هوتَ پُڄاڻان هاڻِ،
اَللهَ! سيئِي آڻِ، جَنِ ساءُ چَکايُمِ سِڪَ جو.",Shah Bhitai
"ناههِ جَمِعيّتَ جانِ کي، هوتَ پُڄاڻان هاڻِ،
اَللهَ سيئِي آڻِ، جَنِ ساءُ چَکايُمِ سِڪَ جو.",Shah Bhitai
"ناهِه جَمعيّتَ جِانِ کي، هوتَ پُڄاڻان هِتِ،
پُنهُونءَ جِيَ پِرِتِ، ساءُ چَکايُمِ سِڪَ جو.",Shah Bhitai
"ناههِ جَمِعيّتَ جِانِ کي، پُنهُونءَ پُڄاڻان،
سي مُون سيباڻان، جَنِ چَکايُمِ سِڪَ جو.",Shah Bhitai
"ناههِ جَمعيّتَ جِانِ کي، هوتَ پُڄاڻان هيرَ،
ساڄَنَ ڪارَڻِ سيرَ، وؤڙِيندِيَس وِندُرَ جا.",Shah Bhitai
"ٻُڌُ ته ٻِيائي لَهـٖي، ’آئون‘ اُتِ نَه آهِه،
ڪُڇَڻَ ڪَنڍِي لاهِه، ڪَنُ ٿِيءُ، ڪيچِيَنِ ڪُڇِيو.",Shah Bhitai
"ڪَڏِهن پِئَجي ڪَنُ ٿِي، ڪڏهن ٿِيجي واتُ،
ڪَڏِهن ٿِيجي ڪاتُ، ڪَڏِهين ٿِيجي ٻَڪَرو.",Shah Bhitai
"ڪَٽارو ۽ ڪوسُ، اَڱڻِ آرِيءَ ڄامَ جي،
دِيَتَ آهي دوسُ، ماَرڳَ ۾ مُيَنِ جي.",Shah Bhitai
"ڪامُون مُڇيجاهُ، گَهِڻُيون گُهرِجَنِ آن،اوٺِيا!
هي وَڻَ نَه لَهَنداهُ، هُو وَڻَ اوڏاهِين گَهڻا.",Shah Bhitai
"اَکِيُون لَٽَ اوراٽِيُون، ڪنهن پَرِ ڪَڙِيان پيرُ،
لَٽَ لاهِيندو ڪيرُ، مُون جيهِي مَعذُورِ کي.",Shah Bhitai
"اَکِيُون آريءَ ڄامَ جِون، آهِينِ اَنڌِيءَ ساڻُ،
پَسِي ڪَندِيُون پاڻُ، پيشانِي پُنهُونءَ جي.",Shah Bhitai
"سَڏَ مَ ڪَرِ سَڏَنِ ري، هَلَڻَ رِيءَ مَ هَلُ،
جَلَڻَ ريءَ مَ جَلُ، روئَڻَ رِيءَ مَتان رُئين.",Shah Bhitai
"سَدا پُڇُ مَ سهڻي! اونداهِيءَ اَڌ راتِ،
پِريان ڏي پِرڀات، وانءُ ڏيٺاريٖ ڏينهن کي.",Shah Bhitai
"صَدا! وِڌِيَمِ سُورَ جِي، اَڳِيان ڪوهِياريٖ،
جو نِجَسَ نِکاريٖ، سو پُنهُون وِڌُمِ پاندَ ۾.",Shah Bhitai
"سَسُئِيءَ کي سَڏُ ٿِيو، آسان اولاڻُو،
پَنڌ نَه پُڄاڻُو، اَڻَ ڪوٺِي ڪانه ڪَري.",Shah Bhitai
"پَسو! پَراوَنِ، سُورَنِ آڏِي سَسُئِي،
پَرايا پنهنجن، وِجَهنِ ويچارِيءَ تي.",Shah Bhitai
"مُنڌ نَه مَنجهان تَنِ، پَسِي لَڪَ لُڏَنِ جي،
جا پَرِ کاهوڙِيَنِ، سا پَرِ سِکِي سَسُئِي.",Shah Bhitai
"سائِرَ ٻوڙِي سهڻي، نَه ڍوري، نه ڍَنڍَ،
اَکين مَنجِهه اُڪَنڊَ، مُيائِي ميهار ڏي.",Shah Bhitai
"ڪُتا کِيَنَئِي ڪيچَ جا، سَندا جي پُنُهونءَ،
اَگهيٖن هوند اَسونهَن، جي جانارَنِ يادِ پُئين.",Shah Bhitai
"تَنِ پيئِي جانارَنِ ياد، جي پارِيلَ پُنهُونءَ ڄام جا،
سَندِي لالَنَ لاڌ، مُئِيان پوءِ مُنڌَ ٿِئٖي.",Shah Bhitai
"نَه ڪِين آهِيُون چُوهَڙا، نَه ڪِي آهِيُون چورَ،
هنگامان ۽ هورَ، ڪُتا! ڪَرِييٖن ڪَنِ تي؟",Shah Bhitai
"ڪُتو چـٖي قَرِيبَ جا، آهِيُون ساڌَ سَهِي،
پِهرِين بات بَهِي، پُڇُون پوءِ پانڌِيَنِ کي.",Shah Bhitai
"ڪُهين، ته آپُ ڪُهُه، ڏَسِ مَ چُوهَڙِيان،
سَندا آهيڙِيان، آن نه سَهَندِي هَٿَڙا،",Shah Bhitai
"ڪُتو طالِبُ ڍُونڍَ جو، اَسين ڪُتي ڪِيڙَ،
چَهُٽِي آهي چِيڙَ، ڪارايي جي ڪَنَ ۾.",Shah Bhitai
"ڪُتو ڪُرِٽي هَڏِيُون، جُوان مَڙدُ جِڳِرُ کاءِ،
اَلدُنِيَا جِيفَہ وَ طُلاّبُهَا کِلَاب، ايئن هِنئين سين لاءِ.",Shah Bhitai
"ساهَڙُ سُڪيءَ ۾ ٿِيو، پاڻيءَ مَنجِهه پُنوههُ،
سَندو ڪَچَ ڪُنو، تارِ تَرَندو ڪيتَرو؟",Shah Bhitai
"ڏُکِيءَ ڏَمَرُ ناههِ، بُکِيءَ کِلَ نَه اُڄَهي،
اُگهاڙِيءَ وِهانءُ، وِيو ويچارِيءَ وِسَرِي.",Shah Bhitai
"اَدِيُون! وَرُ اُگهاڙَ، وِهانءُ جنهن وِسارِيو،
جيڏِيُون! ڇَڏي جاڙَ، سَڀِ نَنگيُون ٿِي نِڪَرو.",Shah Bhitai
"سَڀَ نَنگِيُون ٿِي نِڪَرو، لالَچ ڇَڏي لوڀَ،
سُپيرِيان سين سوڀَ، نِنڊُون ڪَندي نه ٿِئـٖي.",Shah Bhitai
"سَڀِ نَنگِيُون ٿِي نِڪَرو، پَڙهَڻَ ڇَڏي پوءِ،
مُنهَن مِڙَنِئان هوءِ، ڪَهـٖي جا ڪِينَ کَڻِي.",Shah Bhitai
"ڪَهـٖي جا ڪِينَ کَڻِي، پِرِينءَ پَهُتِي سا،
وِهـٖي ويڙِهجِي جا، وَصلُ تنهن وِڃائِيو.",Shah Bhitai
"وَصلُ تنهن وِڃائِيو، سِينڌِ سُرمي سِيئن،
سا لُوٺِي لِيلا جيئن، مَڻيو جنهن مِٽُ ڪيو.",Shah Bhitai
"هُوندِئان هوتُ پَري، اوڏ آ اَڻَ-هُوندِ کي،
ساجَنُ تَنِ سَري، ’لا‘ سين لَڏِينِ جي.",Shah Bhitai
"هورِنِ هاڙهو لَنگِهيو، ٿِيءُ جَرِيدِي جوءِ!
هُوندِ جَنِين سين هوءِ، هوتَ نَه هُوندو تَنِ سين.",Shah Bhitai
"هورِنِ هاڙهو لَنگِهيو، مُٺِي! مُوسَٽُ ڇَڏِ،
’لا‘ سين اُٿِي لَڏِ، ’ڪِينَ‘ رساڻـٖي ڪيچَ کي.",Shah Bhitai
"هورِنِ هاڙهو لَنگِهيو، ڳورِيُون پاسي ڳوٺِ،
ڪيچِ تَنِين کي ڪوٺَ، ’ڪِينَ‘ جَنِين جي ڪَڇَ ۾.",Shah Bhitai
"هورِنِ هاڙهو لَنگِهيو، ڳَورِيُون ٿِيُون ڳَمَنِ،
هاڃـٖي تنهن هَڄَنِ، ڌاران سِڪَ، سَيّدَ چـٖي.",Shah Bhitai
"نه ڪا هِتِ نه هُتِ، ڪا ڳَورِيءَ سَندِي ڳالِ،
ڪِينَ پَهُتِي مالِ، حالِ پَهُتِي هوتَ کي.",Shah Bhitai
"سانوَڻَ لَهَرِيُون، ٿَرَ وارِي، تَرِ وارَ،
اِنِهان ئِي اَپارَ، مُون سين ڀَلـٖي ڀال ڪِيا.",Shah Bhitai
"وَڌو ڪِيمَ، وَڻاههُ! اُونچا ڏُونگَرَ! مَ ٿِيو،
ٽِمو مَ، نيڻاههُ! تَه پيرُ نِهارِيان پِرِيَنءَ جو.",Shah Bhitai
"جُتِي سي پائِيندِيُون، جَنِين پيرَ پِرِين،
لاٿِيون سَڀِ پَرِين، سَسُئِيءَ سُپِريَنِ کي.",Shah Bhitai
"نه مُون نانَاڻِئان کَٽِيو، نه ڪِي ڏاڏاڻِئا،
پِرِيَنِ جي پارا، مُون سين وَڏائِي وَڙَ ٿِيا.",Shah Bhitai
"مَرِي جِيءُ ته ماڻِيين، جانِبَ جو جَمالُ،
ٿِيين هوند حَلالُ، جي پَندِ اِهائِي پارِييٖن.",Shah Bhitai
"مَرُ ته موچارِي ٿِييٖن جِيئَڻ آڏو جَتَ،
هارِي! ڪَرِ هِمَتَ، تَه ڏيئِي دَمُ، دوسُ لَهِين.",Shah Bhitai
"مَرُ ته موچارِي ٿِييٖن، ويهِي جِيءُ مَ، جوءِ،
مُنڌَ! مَرَڻان پوءِ، پَهُچَندِينءَ پُنهُونءَ کي.",Shah Bhitai
"اَجَلان اَڳي، سَسُئِي! مُنڌَ جِيَئرِيائِي مَرُ،
ٽولِيان تنهن مَ ٽَرُ، جنهن رُوحُ وِڃايو راههَ ۾.",Shah Bhitai
"مَرَڻان اَڳي جي مُئا، سي مَرِي ٿِينِ نه ماتِ،
هوندا سٖي حَياتِ، جِيئَڻان اَڳـٖي جي جِيا.",Shah Bhitai
"جيئڻان اَڳي جي جِيا، جُڳِ جُڳِ سي جيئَنِ،
اوءِ موٽِي ڪِينَ مَرَنِ، مَرَڻان اَڳي جي مُئا.",Shah Bhitai
"اُونچو اُتاهُون گَهڻُو، جيئڻَ کي جَبَلُ،
مَرَڻَ! مُون سيٖن هَلُ، تَه پُٺِيءَ تو پَنڌُ ڪَرِيان.",Shah Bhitai
"تو سَڱُ، ساهَ گَهڻَنِ سين، جِيئَڻَ! گوشٖي جاءُ،
مَرَڻَ! مُون سين آءُ، تَه پُٺِيءَ تو پَنڌُ ڪَرِيان.",Shah Bhitai
"تو سامائي سَسُئِي! مَرَڻُ ڪِيو مُردارُ،
ڪُپَرِ سين ڪوهِيارُ، لُوٺِي! تو لَڄائِيو.",Shah Bhitai
"پَرِ ۾ پَچِي پِرِينءَ کي، مَرِي نه ڄاتوءِ،
’مُوتُوا‘ مُنڌَ نه سوءِ، ڪَنڌُ ڪُڄاڙِيان ڪاٽِييٖن؟",Shah Bhitai
"توڻي وِلاڙُون ڪَرين، توڻي هلٖين وِکَ،
لِکِيي منجها لِکَ، ذَرو ضايَع نه ٿِيي.",Shah Bhitai
"لِکِيو جو نِراڙِ، سو اَنگُ ڪِياڙِيءَ نَه ٿِئـٖي،
پارِيو ويٺِي پاڙِ، جيڪِين لالَنَ لِکِيو لوحَ ۾.",Shah Bhitai
"جِتـٖي جـٖيتَرِيُون، لِکِيُون لوحَ قَلَمَ ۾،
تِتي تيٖتَرِيُون، گَهڙِيُون گهارَڻُ آئِيُون.",Shah Bhitai
"پَنڌ نه پَنڌَنِ جيتَرو، ڪيئن سُڄَندِي ڪِيھَ؟
جيڪَرَ ڪَرِيان رِيهَه، پَرَ چوندا مُنڌَ چَرِي ٿِئِي.",Shah Bhitai
"چُونِمِ مَرُ، ’چَرِي ٿِئِي‘، پَرَ جي سَڏُ سُڻِينِ،
مَرُ مُنهِين کي ڏِينِ، ماڙهُو اَچِيو مِيهَڻا.",Shah Bhitai
"ماڙهُو ڏيئِي مِيهَڻا، مُون کي ڪَندا ڪوههُ؟
جنهن ڇورِيءَ ۾ ڇوه، سا پِٿُون ٿِيندِي پيرَ تي.",Shah Bhitai
"جيٖڪِين ميڙِ مُٺِيَ کي، جيڪِين مُٺِيءَ مارِ،
ڏُکِيءَ کي ڏيٖکارِ، هيڪَرَ هوتُ اکين سين.",Shah Bhitai
"ڏُکِي ٿِي ڏَڌورَ، لَهَسِي لَنئون پُنهُونءَ جي،
ڏيٖئي آڳ اَتور، سَڀَ نهَ کانئـٖي سَسُئي.",Shah Bhitai
"ڏُکِي! ڏِکَ وِسارِ، سٖيجَ ڦِٽِي ڪَرِ، سَسُئِي،
پَٽِييٖن پيرُ نِهارِ، تَه آرِياڻِي اُتان لَهيٖن.",Shah Bhitai
"ڏُکِي! ڏُکُ مَٿـٖي ڪَري، وانءُ ڇَپَرِ پيٖهِي،
گَڏِبَئِي ڏيٖهِي، سُوڌِيُون ڏِيندَءِ خَبَرُون.",Shah Bhitai
"ڏُکِيءَ ڏِيهاڻِي، مُٺِيءَ مَٿي هَٿَڙا،
تنهن پَرِ نه کاڻِي، جنهن پَرِ جِئـٖي، جيڏِيون!",Shah Bhitai
"هَر دَمُ هوتَ پُنهُونءَ جو، ڏِسَڻُ ڀانئج ڏِکَ،
وَرُ پُنهُونءَ ساڻُ پَلَڪَ! ٻَنِ ٻارهن وَرِهَيه ٻِيَنِ سين.",Shah Bhitai
"ڏُکِيءَ سَندِيُون ڏُونگَرين، وَڻَ ٽِڻَ وايُون ڪَنِ،
وَٽان ويهِي جَنِ، وَڍِيءَ سي واڍوڙِيا.",Shah Bhitai
"وَڍِيءَ سي واڍوڙِيا، رَتُ نه ڏِٺو جَنِ،
مَوتُ قَبُولِيو تَنِ، ڏِٺو جَنِ ڏُکِيءَ کي.",Shah Bhitai
"ڪنهن جنهن ڏُکا ڏيٖ، پارانڀا کي پانڌِييٖن،
سُورَ ڀَرِيائِين سٖي، ڳالِهه ڪِيائِين جَنِ سين.",Shah Bhitai
"ڪو جو وَڍِيءَ وَڍُ، جيئن وِڻَ وَڍِيائِين وَڍَ سين،
ڏُکُ ڏُکِيءَ کي ڏَڍُ، جَنِ ڏِٺِي سي ڏُکِيا ٿِيا.",Shah Bhitai
"وَڍيَلِ ٿِي وايُون ڪَري، ڪُٺَلِ ڪُوڪاريٖ،
هُنَ پَنَ پنهنجا سارِيا، هِيءَ هَنجُون هَڏَنِ لئـٖي هاريٖ.",Shah Bhitai
"ڏُکِيءَ توءِ ڏُڪارَ، توڻٖي وَسَنِ مينهَڙا،
صاحِبَ هَٿِ سُڪارُ، هِنَ وَسِ آهِينِ هَٿَڙا.",Shah Bhitai
"ڏُکِيءَ توءِ ڏُڪارَ، سيڻَنِ ڏيهُه سُڪارِيو،
ٻاروچاڻُو ٻارُ، سَڀوئِي سُواءَ سين.",Shah Bhitai
"آئُون نَه گَڏِي پِرِينءَ کي، ٿورا ڏينهن ٿِيا،
راتيٖن روزَ وِيا، عَبَثُ آرِيءَ ڄامَ ري!",Shah Bhitai
"آئُون نَه گَڏِي پِرِينءَ کي، سَهسَيٖن سِڄَ وِيا،
هَلَڻَ ويرَ هِئا، ديٖکٖي شالَ دَمُ ڏِيان!",Shah Bhitai
"وِلاڙِيو وَڻين چَڙهي، رَئِي پَسِيو روءِ،
”وِچان جو وِچُ پوءِ، سو ڪنهن پَرِ ڪَهِي لاهِيان!“",Shah Bhitai
"وِلاڙيون وَڻيٖن چَڙهي، اُونچَنِ مَٿي اَڄُ،
لالَنَ ڪارَڻِ لَڄُ، باسِيائِين بردارَ جو.",Shah Bhitai
"وِلاڙِيو وَڻيٖن چَڙهي، ڏِيو پَٽولي لانگَ،
ٽارِيءَ ٽارِيءَ ڇانگَ، سَسُئِي مورَ ٻَچَنِ جيئن.",Shah Bhitai
"وِلاڙِيو وَڻين چَڙهـٖي، ڏاڍو ڏوريٖ ڏُورِ،
سُپيٖرِيان جي سُورِ، پَري پَڙاڏا ڪَري.",Shah Bhitai
"پَريٖ پَڙاڏا ڪَري، اوريٖ نه آهي،
ڪَمتَرِ ڪا ڪاهـٖي، پَهُچي هِنَ پَٽَيءَ کي.",Shah Bhitai
"رُڃُنِ ۾ رَڙِ ٿِي، ڪَرَ ڪووَلَ جِي ڪُوڪَ،
وَلوَلو ۽ وُوڪَ، اِيءَ تان آههَ عِشقَ جِي.",Shah Bhitai
"رُڃُنِ ۾ رَڙِ ٿِي، ڪَرَ چَتُونءَ جِي چانگارَ،
اِيءَ عِشقَ جِي اُٻَڪارَ، نَعرو آهي نينهن جو.",Shah Bhitai
"رُڃُنِ ۾ رَڙِ ٿِي، ڪَرَ ڪُرَڪي ڪُونجَ،
نَعرو مَنجِهه نِڪُونجَ، اِيءَ تان آهَ عِشقُ جِي.",Shah Bhitai
"رُڃُنِ ۾ رَڙِ ٿِي، ڪَرَ ڪُرَڪي ڪُونجَ،
نَعرو مَنجِهه نِڪُونجَ، اِيءَ تان آهَ عِشقُ جِي.",Shah Bhitai
"رُڃُنِ ۾ رَڙِ ٿِي، ڪرَ سارَنگِيءَ سازُ،
اِيءُ عِشقُ جو آوازُ، ماڙهُو رَکَنِ مُنڌ تي.",Shah Bhitai
"ڏاگَهنِ، ڏيرَن، ڏُونگَرَنِ، ٽنهي ڏِنَمِ ڏُکَ،
سي سَڀ ڀانَيَمِ سُکَ، هيڪاندِ ڪارَڻِ هوتَ جـٖي.",Shah Bhitai
"وَڃي سا رات وِهاڻِي، رِيءَ پَسَڻَ پِرِيَنِ جي!
هِهَڙا اوڏا سپِرِين، تو ڪيئن نِنِڊَ رِهاڻي؟",Shah Bhitai
"جَتَنِ وِڌِيَس جارِ، ناتَ هُيَسِ نِماڻِي نِڪَڻِي،
ٿِيئَڙا پاڻَ قَرارِ، مُون مَنُ گَڏيٖ گُندريٖن.",Shah Bhitai
"جي ڄاڻان جَتَنِ، پوءِ پَٽاندَرُ هيتَرو،
آئُون ڪيئن مُلا تَنِ، سَرَتِيُون! سُورَ پِرائِيان؟",Shah Bhitai
